Product Card Id,Product Name,Revenue,Profit,Units_Sold,Orders,Profit_Margin
1004,Field & Stream Sportsman 16 Gun Fire Safe,6929653.690575,756220.767189502,17325,15164,0.10912821923814685
365,Perfect Fitness Perfect Rip Deck,4421143.14353786,493828.299782181,73698,20359,0.1116969715183238
957,Diamondback Women's Serene Classic Comfort Bi,4118425.571019,427455.568105731,13729,12299,0.10379101448711332
191,Nike Men's Free 5.0+ Running Shoe,3667633.19662996,379915.818503431,36680,11092,0.10358609984567711
502,Nike Men's Dri-FIT Victory Golf Polo,3147800.0,350421.02956735,62956,17869,0.1113225203530561
1073,Pelican Sunstream 100 Kayak,3099845.08525,324076.370020296,15500,13727,0.1045459889471088
403,Nike Men's CJ Elite 2 TD Football Cleat,2891757.6623529997,311902.820213578,22246,18783,0.10785925261793383
1014,O'Brien Men's Neoprene Life Vest,2888993.9135055,318451.430554194,57803,16623,0.11022918015351081
627,Under Armour Girls' Toddler Spine Surge Runni,1269082.67110818,126278.510298901,31735,9825,0.09950377006458762
1351,Dell Laptop,663000.0,69656.81017112,442,442,0.10506306209822021
1349,Web Camera,267607.685032,30289.799945644998,592,592,0.11318733220244778
1355,Lawn mower,257768.72827639998,33443.010106141,484,484,0.1297403697095513
1350,Children's heaters,232829.20397719997,27178.099596873,652,652,0.11672977071868716
1353,Porcelain crafts,223356.325324,25531.17006045,484,484,0.11430690410676556
1363,Summer dresses,140283.00474499998,19102.849930084,650,650,0.13617365813348728
1360,Smart watch ,117006.75,12518.610118848,357,357,0.10699049515389497
1358,Rock music,113122.09735260002,14436.31992285,434,434,0.1276171522691291
1352,Industrial consumer electronics,108991.2821119,13223.399925575,431,431,0.12132529932071723
1356,First aid kit,106080.483077,9493.629974264,362,362,0.08949459597928977
1354,DVDs ,79395.5423667,6655.430088233999,483,483,0.08382624376435287
565,adidas Youth Germany Black/Red Away Match Soc,67830.0,8129.399983306,969,313,0.11984962381403508
728,LIJA Women's Eyelet Sleeveless Golf Polo,61490.0,6752.330081825,946,309,0.1098118406541714
44,adidas Men's F10 Messi TRX FG Soccer Cleat,56330.61164488,8213.070031392,939,303,0.14580118680707602
823,Titleist Pro V1x High Numbers Personalized Go,47206.92146286,6671.089964594,908,305,0.14131592906015855
249,Under Armour Women's Micro G Skulpt Running S,46559.591034339996,4469.770004019,847,286,0.09600105810040996
116,Nike Men's Comfort 2 Slide,44585.09062432,5747.979996385,991,327,0.12892157256824385
821,Titleist Pro V1 High Numbers Personalized Gol,44243.491382600005,6093.149948176,851,291,0.1377185605784335
1357,Men's gala suit,43856.8012688,2006.039969416,208,208,0.045740681294125965
1359,Adult dog supplies,41524.80075276,3589.259958614,492,492,0.08643653656484879
818,Titleist Pro V1x Golf Balls,41415.37052844,3699.609974452,863,291,0.08932939455199301
822,Titleist Pro V1x High Numbers Golf Balls,38392.00052236,4592.280023798,800,264,0.11961554389757305
278,Under Armour Men's Compression EV SL Slide,36576.87057466,3745.3400192560002,813,279,0.10239640407757368
572,TYR Boys' Team Digi Jammer,35191.2006334,3658.979987517,880,298,0.10397428680066853
771,Clicgear Rovic Cooler Bag,34671.33045858,2962.95996846,867,284,0.08545850214775262
1362,Fighting video games,33310.5,2717.519996736,838,838,0.08158148321808438
208,SOLE E35 Elliptical,29999.84985,-965.11996816,15,15,-0.03217082662032057
977,ENO Atlas Hammock Straps,29930.019742160002,2139.579985686,998,321,0.07148608668213294
835,Bridgestone e6 Straight Distance NFL Carolina,29686.71978552,3188.770000265,928,308,0.10741402294706723
235,Under Armour Hustle Storm Medium Duffle Bag,29601.54064158,4067.610021172,846,297,0.13741210535030074
276,Under Armour Women's Ignite Slide,29398.80977828,4030.3799946999998,919,306,0.13709330497038238
828,Bridgestone e6 Straight Distance NFL San Dieg,28982.93982142,2019.829987259,906,309,0.06969030746032995
642,Columbia Men's PFG Anchor Tough T-Shirt,27840.0,2454.800032293,928,304,0.08817528851627156
37,adidas Kids' F5 Messi FG Soccer Cleat,27327.19054016,2906.330036917,781,262,0.10635304908661801
564,Nike Men's Deutschland Weltmeister Winners Bl,27210.0,2666.470001124,907,297,0.09799595740992283
172,Nike Women's Tempo Shorts,27210.0,3095.279981277,907,318,0.11375523635711135
282,Under Armour Women's Ignite PIP VI Slide,27127.519792220002,2057.210005626,848,285,0.0758347988088463
